Source_URL,Name,Phone_Number,Street,City,State,Website
http://yellow.co.nz/new-zealand/cafes/?what=Cafes&where=new-zealand,
orty Seven,07 838 9968,529 Grey St Hamilton,,,,
www.yellowpages.com.nz/y/bella-kai-good?c=417,Bella Kai Good Food Market & Cafe,03 215 4541,808 North Rd Lorneville Invercargill,,,http://www.bellakai.co.nz,
www.yellowpages.com.nz/y/salt-on-pier?c=417,Salt on the Pier,03 388 4493,Pier Terminus 195-213 Marine Parade New Brighton Christch...,,,http://www.saltonthepier.co.nz,
www.yellowpages.com.nz/y/sierra-coffee-roastery-tauranga?c=417,Sierra Coffee Roastery,09 444 4369,"Servicing: Papamoa, Te Puke, Bethlehem, Matapihi, Judea, ...",,,http://www.sierracoffee.co.nz,
www.yellowpages.com.nz/y/sierra-cafe-botany-town?c=417,Sierra Cafe,09 444 4369,"Servicing: Rotorua, Tauranga, Turangi, Taupo, Tauranga",,,http://www.sierracoffee.co.nz,
www.yellowpages.com.nz/y/ground-floor-cafe?c=417,Ground Floor Cafe,03 343 0048,47 Riccarton Rd Riccarton Christchurch 8011,,,,
www.yellowpages.com.nz/y/beannie-cafe?c=417,Beannie Cafe,04 586 5819,198 Jackson St Petone Lower Hutt 5012,,,,
www.yellowpages.com.nz/y/cafe-greenworld-lynwood?c=417,Cafe Greenworld Lynwood Homestead,03 215 8101,200 North Rd Invercargill,,,,
www.yellowpages.com.nz/y/sierra-coffee?c=417,Sierra Coffee,09 444 4369,42 Tarndale Gro Albany Auckland,,,http://www.sierracoffee.co.nz,
www.yellowpages.com.nz/y/cafe-selcouth-ellerslie?c=417,Cafe Selcouth,037452003,Beachfront Takapuna Auckland,,,http://www.menus.co.nz/listing/4qh7qx/cafe-selcouth/,
www.yellowpages.com.nz/y/smith-grocer?c=417,Smith The Grocer,0800 764 843,"Servicing: Paraparaumu, Kapiti Coast, Tawa, Upper Hutt, L...",,,http://www.smiththegrocer.co.nz,
www.yellowpages.com.nz/y/lambrettas-cafe-bar-nelson?c=417,Lambretta's Cafe Bar,03 545 8555,204 Hardy St Nelson Central Nelson 7010,,,http://www.lambrettascafe.co.nz,
www.yellowpages.com.nz/y/caffe-laffare-college?c=417,Caffe L'affare,04 385 9748,27 College St Wellington 6011,,,http://www.laffare.co.nz,
www.yellowpages.com.nz/y/safran-cafe?c=417,Safran Cafe Restaurant,021 660 469,71 Davis Cre Newmarket Auckland,,,http://www.safrancaferestaurant.co.nz/,
www.yellowpages.com.nz/y/altura-coffee-company-albany?c=417,Altura Coffee Company Limited,0800 258 872,23 Douglas Alexander Pde Albany Auckland 0632,,,http://www.alturacoffee.co.nz,
www.yellowpages.com.nz/y/altura-coffee-douglas-alexander-3?c=417,Altura Coffee Company Limited,09 448 1414,23 Douglas Alexander Pde Albany Auckland 0632,,,http://www.alturacoffee.co.nz,
www.yellowpages.com.nz/y/capers-epicurean?c=417,Capers Epicurean,07 348 8818,1181 Eruera St Rotorua 3010,,,http://www.capers.co.nz,
www.yellowpages.com.nz/y/replete-food-company?c=417,Replete Food Company,07 377 3011,47 HeuHeu St Taupo 3330,,,http://www.replete.co.nz,
www.yellowpages.com.nz/y/lily-pad-cafe-cambridge?c=417,Lily Pad Cafe,07 823 9134,1234 Kaipaki Rd Cambridge,,,http://www.thelilypadcafe.co.nz,
www.yellowpages.com.nz/y/marracbo-cafe?c=417,Marracbo Cafe,06 278 5334,Countdown Carpark 17 Union St Hawera,,,,
www.yellowpages.com.nz/y/celsius-cafe-bar?c=417,Sparky Ltd,03 528 7333,194 High St Motueka 7120,,,,
www.yellowpages.com.nz/y/ten-oclock-cookie-masterton?c=417,Ten O'Clock Cookie Bakery~Cafe,06 377 4551,180 Queen St Masterton 5810,,,http://www.tencc.co.nz,
www.yellowpages.com.nz/y/alpine-restaurant-wine?c=417,Alpine Restaurant & Wine Bar,06 385 9183,cnr Clyde & Miro Sts,,,,
www.yellowpages.com.nz/y/georgios-cafe?c=417,Georgio's Cafe,03 348 8161,"Enterprise Business Park, Unit 8, 65 Epsom Rd Sockburn Ch...",,,http://georgioscafe.co.nz,
www.yellowpages.com.nz/y/barossa-cafe-restaurant-richardson?c=417,Barossa Cafe & Restaurant,096000641,715 Richardson Rd Hillsborough Auckland 1042,,,http://www.barossa.co.nz,
www.yellowpages.com.nz/y/flipn-bear-cafe-and?c=417,Flip'n Bear Cafe and Pancake Den,07 863 4353,123 Emerton Rd Athenree Waihi,,,,
www.yellowpages.com.nz/y/wrinkly-rams-omarama?c=417,The Wrinkly Rams,03 438 9751,"Servicing: Geraldine, Omarama, Mt Cook, Fairlie, Oamaru, ...",,,http://www.thewrinklyrams.co.nz,
www.yellowpages.com.nz/y/strathmore-bakery-cafe-wellington?c=417,Strathmore Bakery & Cafe,04 388 6666,"Servicing: Breaker Bay, Brooklyn, Kilbirnie, Petone, Rong...",,,https://www.facebook.com/strathmorebakery,
